Date,Country,Cumulative number of case(s),Number of deaths,Number recovered
1/5/03,Mongolia,6,0,3
1/5/03,Philippines,4,2,1
1/5/03,Poland,1,0,0
1/5/03,Republic of Ireland,1,0,1
1/5/03,Republic of Korea,1,0,0
1/5/03,Romania,1,0,1
1/5/03,Singapore,201,25,143
1/5/03,South Africa,1,0,0
1/5/03,Spain,1,0,1
1/5/03,Sweden,3,0,2
1/5/03,Switzerland,1,0,1
1/5/03,Thailand,7,2,5
1/5/03,United Kingdom,6,0,6
1/5/03,United States,54,0,23
1/5/03,Viet Nam,63,5,56
2/5/03,Brazil,2,0,2
2/5/03,Bulgaria,1,0,0
2/5/03,Canada,149,22,93
2/5/03,China,3799,181,1372
2/5/03,"Hong Kong SAR, China",1611,170,878
2/5/03,"Macao SAR, China",1,0,0
2/5/03,"Taiwan, China",100,8,25
2/5/03,France,5,0,4
2/5/03,Germany,7,0,7
2/5/03,Indonesia,2,0,1
2/5/03,Italy,9,0,4
2/5/03,Kuwait,1,0,1
2/5/03,Malaysia,6,2,3
2/5/03,Mongolia,8,0,4
2/5/03,New Zealand,1,0,1
2/5/03,Philippines,3,2,1
2/5/03,Poland,1,0,0
2/5/03,Republic of Ireland,1,0,1
2/5/03,Republic of Korea,1,0,0
2/5/03,Romania,1,0,1
2/5/03,Singapore,203,25,146
2/5/03,South Africa,1,0,0
2/5/03,Spain,1,0,1
2/5/03,Sweden,3,0,2
2/5/03,Switzerland,1,0,1
2/5/03,Thailand,7,2,5
2/5/03,United Kingdom,6,0,6
2/5/03,United States,56,0,24
2/5/03,Viet Nam,63,5,56
3/5/03,Brazil,2,0,2
3/5/03,Bulgaria,1,0,0
3/5/03,Canada,149,22,94
3/5/03,China,3971,190,1406
3/5/03,"Hong Kong SAR, China",1621,179,898
3/5/03,"Macao SAR, China",1,0,0
3/5/03,"Taiwan, China",100,8,25
3/5/03,France,5,0,4
3/5/03,Germany,7,0,7
3/5/03,Indonesia,2,0,1
3/5/03,Italy,9,0,4
3/5/03,Kuwait,1,0,1
3/5/03,Malaysia,6,2,3
3/5/03,Mongolia,8,0,4
3/5/03,New Zealand,1,0,1
3/5/03,Philippines,3,2,1
3/5/03,Poland,1,0,0
3/5/03,Republic of Ireland,1,0,1
3/5/03,Republic of Korea,1,0,0
3/5/03,Romania,1,0,1
3/5/03,Singapore,203,25,147
3/5/03,South Africa,1,0,1
3/5/03,Spain,1,0,1
3/5/03,Sweden,3,0,2
3/5/03,Switzerland,1,0,1
3/5/03,Thailand,7,2,5
3/5/03,United Kingdom,6,0,6
3/5/03,United States,54,0,24
3/5/03,Viet Nam,63,5,58
5/5/03,Brazil,2,0,2
5/5/03,Bulgaria,1,0,0
5/5/03,Canada,148,22,93
5/5/03,China,4280,206,1433
5/5/03,"Hong Kong SAR, China",1637,187,930
5/5/03,"Macao SAR, China",1,0,0
5/5/03,"Taiwan, China",116,8,25
5/5/03,France,5,0,4
5/5/03,Germany,7,0,7
5/5/03,Indonesia,2,0,1
5/5/03,Italy,9,0,4
5/5/03,Kuwait,1,0,1
5/5/03,Malaysia,7,2,4
5/5/03,Mongolia,8,0,4
5/5/03,New Zealand,1,0,1
5/5/03,Philippines,3,2,1
5/5/03,Poland,1,0,0
5/5/03,Republic of Ireland,1,0,1
5/5/03,Republic of Korea,1,0,0
5/5/03,Romania,1,0,1
5/5/03,Singapore,204,26,149
5/5/03,South Africa,1,1,0
5/5/03,Spain,1,0,1
5/5/03,Sweden,3,0,2
5/5/03,Switzerland,1,0,1
5/5/03,Thailand,7,2,5
5/5/03,United Kingdom,6,0,6
5/5/03,United States,61,0,26
5/5/03,Viet Nam,63,5,58
6/5/03,Brazil,2,0,2
6/5/03,Bulgaria,1,0,0
6/5/03,Canada,148,22,93
6/5/03,China,4409,214,1460
6/5/03,"Hong Kong SAR, China",1646,193,958
6/5/03,"Macao SAR, China",1,0,0
6/5/03,"Taiwan, China",116,10,25
6/5/03,Colombia,1,0,1
6/5/03,France,5,0,4
6/5/03,Germany,7,0,7
6/5/03,India,1,0,0
6/5/03,Indonesia,2,0,1
6/5/03,Italy,9,0,4
6/5/03,Kuwait,1,0,1
6/5/03,Malaysia,7,2,4
6/5/03,Mongolia,8,0,4
6/5/03,New Zealand,1,0,1
6/5/03,Philippines,3,2,1
6/5/03,Poland,1,0,0
6/5/03,Republic of Ireland,1,0,1
6/5/03,Republic of Korea,1,0,0
6/5/03,Romania,1,0,1
6/5/03,Singapore,204,27,149
6/5/03,South Africa,1,1,0
6/5/03,Spain,1,0,1
6/5/03,Sweden,3,0,2
6/5/03,Switzerland,1,0,1
6/5/03,Thailand,7,2,5
6/5/03,United Kingdom,6,0,6
6/5/03,United States,65,0,32
6/5/03,Viet Nam,63,5,58
7/5/03,Brazil,2,0,2
7/5/03,Bulgaria,1,0,0
7/5/03,Canada,146,22,93
7/5/03,China,4560,219,1487
7/5/03,"Hong Kong SAR, China",1654,204,984
7/5/03,"Macao SAR, China",1,0,0
7/5/03,"Taiwan, China",125,11,26
7/5/03,Colombia,1,0,1
7/5/03,France,6,0,4
7/5/03,Germany,8,0,7
7/5/03,India,1,0,0
7/5/03,Indonesia,2,0,1
7/5/03,Italy,9,0,5
7/5/03,Kuwait,1,0,1
7/5/03,Malaysia,7,2,4
7/5/03,Mongolia,9,0,6
7/5/03,New Zealand,1,0,1
7/5/03,Philippines,10,2,2
7/5/03,Poland,1,0,0
7/5/03,Republic of Ireland,1,0,1
7/5/03,Republic of Korea,1,0,0
7/5/03,Romania,1,0,1
7/5/03,Singapore,204,27,150
7/5/03,South Africa,1,1,0
7/5/03,Spain,1,0,1
7/5/03,Sweden,3,0,2
7/5/03,Switzerland,1,0,1
7/5/03,Thailand,7,2,5
7/5/03,United Kingdom,6,0,6
7/5/03,United States,65,0,32
7/5/03,Viet Nam,63,5,58
8/5/03,Brazil,2,0,2
8/5/03,Bulgaria,1,0,0
8/5/03,Canada,146,22,95
8/5/03,China,4698,224,1529
8/5/03,"Hong Kong SAR, China",1661,208,1008
8/5/03,"Macao SAR, China",1,0,0
8/5/03,"Taiwan, China",131,13,26
8/5/03,Colombia,1,0,1
8/5/03,Finland,1,0,0
8/5/03,France,6,0,4
8/5/03,Germany,8,0,7
8/5/03,India,1,0,0
8/5/03,Indonesia,2,0,1
8/5/03,Italy,9,0,6
8/5/03,Kuwait,1,0,1
8/5/03,Malaysia,7,2,4
8/5/03,Mongolia,9,0,6
8/5/03,New Zealand,1,0,1
8/5/03,Philippines,10,2,2
8/5/03,Poland,1,0,0
8/5/03,Republic of Ireland,1,0,1
8/5/03,Republic of Korea,1,0,1
8/5/03,Romania,1,0,1
8/5/03,Singapore,204,27,153
8/5/03,South Africa,1,1,0
8/5/03,Spain,1,0,1
8/5/03,Sweden,3,0,2
8/5/03,Switzerland,1,0,1
8/5/03,Thailand,7,2,5
8/5/03,United Kingdom,6,0,6
8/5/03,United States,63,0,33
8/5/03,Viet Nam,63,5,58
9/5/03,Brazil,2,0,2
9/5/03,Bulgaria,1,0,0
9/5/03,Canada,145,22,94
9/5/03,China,4805,230,1582
9/5/03,"Hong Kong SAR, China",1667,210,1015
9/5/03,"Macao SAR, China",1,0,0
9/5/03,"Taiwan, China",149,13,26
9/5/03,Colombia,1,0,1
9/5/03,Finland,1,0,0
9/5/03,France,6,0,4
9/5/03,Germany,9,0,9
9/5/03,India,1,0,0
9/5/03,Indonesia,2,0,1
9/5/03,Italy,9,0,9
9/5/03,Kuwait,1,0,1
9/5/03,Malaysia,6,2,4
9/5/03,Mongolia,9,0,6
9/5/03,New Zealand,1,0,1
9/5/03,Philippines,10,2,2
9/5/03,Poland,1,0,0
9/5/03,Republic of Ireland,1,0,1
9/5/03,Republic of Korea,1,0,1
9/5/03,Romania,1,0,1
9/5/03,Singapore,204,27,153
9/5/03,South Africa,1,1,0
9/5/03,Spain,1,0,1
9/5/03,Sweden,3,0,2
9/5/03,Switzerland,1,0,1
9/5/03,Thailand,7,2,5
9/5/03,United Kingdom,6,0,6
9/5/03,United States,63,0,33
9/5/03,Viet Nam,63,5,58
10/5/03,Brazil,2,0,2
10/5/03,Bulgaria,1,0,0
10/5/03,Canada,145,22,97
10/5/03,China,4884,235,1620
10/5/03,"Hong Kong SAR, China",1674,212,1035
10/5/03,"Macao SAR, China",1,0,0
10/5/03,"Taiwan, China",172,18,26
10/5/03,Colombia,1,0,1
10/5/03,Finland,1,0,0
10/5/03,France,7,0,4
10/5/03,Germany,9,0,9
10/5/03,India,1,0,0
10/5/03,Indonesia,2,0,1
10/5/03,Italy,9,0,9
10/5/03,Kuwait,1,0,1
10/5/03,Malaysia,7,2,4
10/5/03,Mongolia,9,0,6
10/5/03,New Zealand,1,0,1
10/5/03,Philippines,10,2,2
10/5/03,Poland,1,0,0
10/5/03,Republic of Ireland,1,0,1
10/5/03,Republic of Korea,1,0,1
10/5/03,Romania,1,0,1
10/5/03,Singapore,205,27,155
10/5/03,South Africa,1,1,0
10/5/03,Spain,1,0,1
10/5/03,Sweden,3,0,2
10/5/03,Switzerland,1,0,1
10/5/03,Thailand,7,2,5
10/5/03,United Kingdom,6,0,6
10/5/03,United States,64,0,34
10/5/03,Viet Nam,63,5,58
12/5/03,Brazil,2,0,2
12/5/03,Bulgaria,1,0,0
12/5/03,Canada,143,22,98
12/5/03,China,5013,252,1693
12/5/03,"Hong Kong SAR, China",1683,218,1066
12/5/03,"Macao SAR, China",1,0,0
12/5/03,"Taiwan, China",184,20,26
12/5/03,Colombia,1,0,1
12/5/03,Finland,1,0,0
12/5/03,France,7,0,4
12/5/03,Germany,9,0,9
12/5/03,India,1,0,0
12/5/03,Indonesia,2,0,1
12/5/03,Italy,9,0,8
12/5/03,Kuwait,1,0,1
12/5/03,Malaysia,7,2,4
12/5/03,Mongolia,9,0,6
12/5/03,New Zealand,1,0,1
12/5/03,Philippines,10,2,3
12/5/03,Poland,1,0,0
12/5/03,Republic of Ireland,1,0,1
12/5/03,Republic of Korea,2,0,1
12/5/03,Romania,1,0,1
12/5/03,Singapore,205,28,156
12/5/03,South Africa,1,1,0
12/5/03,Spain,1,0,1
12/5/03,Sweden,3,0,2
12/5/03,Switzerland,1,0,1
12/5/03,Thailand,7,2,5
12/5/03,United Kingdom,6,0,6
12/5/03,United States,64,0,34
12/5/03,Viet Nam,63,5,58
13/5/03,Brazil,2,0,2
13/5/03,Bulgaria,1,0,0
13/5/03,Canada,143,22,99
13/5/03,China,5086,262,1765
13/5/03,"Hong Kong SAR, China",1689,225,1090
13/5/03,"Macao SAR, China",1,0,0
13/5/03,"Taiwan, China",207,24,30
13/5/03,Colombia,1,0,1
13/5/03,Finland,1,0,0
13/5/03,France,7,0,4
13/5/03,Germany,9,0,9
13/5/03,India,3,0,0
13/5/03,Indonesia,2,0,1
13/5/03,Italy,9,0,9
13/5/03,Kuwait,1,0,1
13/5/03,Malaysia,7,2,4
13/5/03,Mongolia,9,0,6
13/5/03,New Zealand,1,0,1
13/5/03,Philippines,10,2,3
13/5/03,Republic of Ireland,1,0,1
13/5/03,Republic of Korea,2,0,1
13/5/03,Romania,1,0,1
13/5/03,Singapore,205,28,157
13/5/03,South Africa,1,1,0
13/5/03,Spain,1,0,1
13/5/03,Sweden,3,0,3
13/5/03,Switzerland,1,0,1
13/5/03,Thailand,7,2,5
13/5/03,United Kingdom,4,0,4
13/5/03,United States,64,0,35
13/5/03,Viet Nam,63,5,58
14/5/03,Brazil,2,0,2
14/5/03,Bulgaria,1,0,0
14/5/03,Canada,143,23,104
14/5/03,China,5124,267,1811
14/5/03,"Hong Kong SAR, China",1698,227,1128
14/5/03,"Macao SAR, China",1,0,0
14/5/03,"Taiwan, China",238,30,38
14/5/03,Colombia,1,0,1
14/5/03,Finland,1,0,0
14/5/03,France,7,0,4
14/5/03,Germany,9,0,9
14/5/03,India,3,0,0
14/5/03,Indonesia,2,0,2
14/5/03,Italy,9,0,9
14/5/03,Kuwait,1,0,1
14/5/03,Malaysia,7,2,5
14/5/03,Mongolia,9,0,6
14/5/03,New Zealand,1,0,1
14/5/03,Philippines,10,2,3
14/5/03,Republic of Ireland,1,0,1
14/5/03,Republic of Korea,3,0,1
14/5/03,Romania,1,0,1
14/5/03,Singapore,205,28,157
14/5/03,South Africa,1,1,0
14/5/03,Spain,1,0,1
14/5/03,Sweden,3,0,3
14/5/03,Switzerland,1,0,1
14/5/03,Thailand,8,2,5
14/5/03,United Kingdom,4,0,4
14/5/03,United States,64,0,35
14/5/03,Viet Nam,63,5,58
15/5/03,Brazil,2,0,2
15/5/03,Bulgaria,1,0,0
15/5/03,Canada,142,23,107
15/5/03,China,5163,271,1858
15/5/03,"Hong Kong SAR, China",1703,234,1160
15/5/03,"Macao SAR, China",1,0,0
15/5/03,"Taiwan, China",264,30,38
15/5/03,Colombia,1,0,1
15/5/03,Finland,1,0,0
15/5/03,France,7,0,4
15/5/03,Germany,9,0,9
15/5/03,India,3,0,3
15/5/03,Indonesia,2,0,2
15/5/03,Italy,9,0,9
15/5/03,Kuwait,1,0,1
15/5/03,Malaysia,7,2,5
15/5/03,Mongolia,9,0,7
15/5/03,New Zealand,1,0,1
15/5/03,Philippines,12,2,4
15/5/03,Republic of Ireland,1,0,1
15/5/03,Republic of Korea,3,0,1
15/5/03,Romania,1,0,1
15/5/03,Singapore,205,28,157
15/5/03,South Africa,1,1,0
15/5/03,Spain,1,0,1
15/5/03,Sweden,3,0,3
15/5/03,Switzerland,1,0,1
15/5/03,Thailand,8,2,5
15/5/03,United Kingdom,4,0,4
15/5/03,United States,64,0,35
15/5/03,Viet Nam,63,5,58
16/5/03,Brazil,2,0,2
16/5/03,Bulgaria,1,0,0
16/5/03,Canada,140,23,106
16/5/03,China,5191,275,1947
16/5/03,"Hong Kong SAR, China",1706,238,1171
16/5/03,"Macao SAR, China",1,0,0
16/5/03,"Taiwan, China",274,35,46
16/5/03,Colombia,1,0,1
16/5/03,Finland,1,0,0
16/5/03,France,7,0,4
16/5/03,Germany,9,0,9
16/5/03,India,3,0,3
16/5/03,Indonesia,2,0,2
16/5/03,Italy,9,0,9
16/5/03,Kuwait,1,0,1
16/5/03,Malaysia,7,2,5
16/5/03,Mongolia,9,0,7
16/5/03,New Zealand,1,0,1
16/5/03,Philippines,12,2,4
16/5/03,Republic of Ireland,1,0,1
16/5/03,Republic of Korea,3,0,1
16/5/03,Romania,1,0,1
16/5/03,Singapore,205,28,157
16/5/03,South Africa,1,1,0
16/5/03,Spain,1,0,1
16/5/03,Sweden,3,0,3
16/5/03,Switzerland,1,0,1
16/5/03,Thailand,8,2,5
16/5/03,United Kingdom,4,0,4
16/5/03,United States,65,0,34
16/5/03,Viet Nam,63,5,58
17/5/03,Brazil,2,0,2
17/5/03,Canada,140,23,106
17/5/03,China,5209,282,2009
17/5/03,"Hong Kong SAR, China",1710,243,1191
17/5/03,"Macao SAR, China",1,0,0
17/5/03,"Taiwan, China",274,35,46
17/5/03,Colombia,1,0,1
17/5/03,Finland,1,0,0
17/5/03,France,7,0,6
17/5/03,Germany,9,0,9
17/5/03,India,3,0,3
17/5/03,Indonesia,2,0,2
17/5/03,Italy,9,0,9
17/5/03,Kuwait,1,0,1
17/5/03,Malaysia,7,2,5
17/5/03,Mongolia,9,0,7
17/5/03,New Zealand,1,0,1
17/5/03,Philippines,12,2,4
17/5/03,Republic of Ireland,1,0,1
17/5/03,Republic of Korea,3,0,1
17/5/03,Romania,1,0,1
17/5/03,Singapore,205,28,157
17/5/03,South Africa,1,1,0
17/5/03,Spain,1,0,1
17/5/03,Sweden,3,0,3
17/5/03,Switzerland,1,0,1
17/5/03,Thailand,8,2,5
17/5/03,United Kingdom,4,0,4
17/5/03,United States,66,0,34
17/5/03,Viet Nam,63,5,58
19/5/03,Brazil,2,0,2
19/5/03,Canada,140,23,106
19/5/03,China,5236,289,2148
19/5/03,"Hong Kong SAR, China",1714,251,1213
19/5/03,"Macao SAR, China",1,0,0
19/5/03,"Taiwan, China",344,40,50
19/5/03,Colombia,1,0,1
19/5/03,Finland,1,0,0
19/5/03,France,7,0,6
19/5/03,Germany,9,0,9
19/5/03,India,3,0,3
19/5/03,Indonesia,2,0,2
19/5/03,Italy,9,0,9
19/5/03,Kuwait,1,0,1
19/5/03,Malaysia,7,2,5
19/5/03,Mongolia,9,0,8
19/5/03,New Zealand,1,0,1
19/5/03,Philippines,12,2,8
19/5/03,Republic of Ireland,1,0,1
19/5/03,Republic of Korea,3,0,1
19/5/03,Romania,1,0,1
19/5/03,Singapore,206,28,160
19/5/03,South Africa,1,1,0
19/5/03,Spain,1,0,1
19/5/03,Sweden,3,0,3
19/5/03,Switzerland,1,0,1
19/5/03,Thailand,8,2,5
19/5/03,United Kingdom,4,0,4
19/5/03,United States,67,0,34
19/5/03,Viet Nam,63,5,58
20/5/03,Brazil,2,0,2
20/5/03,Canada,140,23,106
20/5/03,China,5248,294,2254
20/5/03,"Hong Kong SAR, China",1718,253,1229
20/5/03,"Macao SAR, China",1,0,0
20/5/03,"Taiwan, China",383,52,63
20/5/03,Colombia,1,0,1
20/5/03,Finland,1,0,0
20/5/03,France,7,0,6
20/5/03,Germany,9,0,9
20/5/03,India,3,0,3
20/5/03,Indonesia,2,0,2
20/5/03,Italy,9,0,9
20/5/03,Kuwait,1,0,1
20/5/03,Malaysia,7,2,5
20/5/03,Mongolia,9,0,8
20/5/03,New Zealand,1,0,1
20/5/03,Philippines,12,2,8
20/5/03,Republic of Ireland,1,0,1
20/5/03,Republic of Korea,3,0,2
20/5/03,Romania,1,0,1
20/5/03,Singapore,206,28,161
20/5/03,South Africa,1,1,0
20/5/03,Spain,1,0,1
20/5/03,Sweden,3,0,3
20/5/03,Switzerland,1,0,1
20/5/03,Thailand,8,2,5
20/5/03,United Kingdom,4,0,4
20/5/03,United States,67,0,34
20/5/03,Viet Nam,63,5,58
21/5/03,Brazil,2,0,2
21/5/03,Canada,140,23,108
21/5/03,China,5249,296,2335
21/5/03,"Hong Kong SAR, China",1719,255,1237
21/5/03,"Macao SAR, China",1,0,0
21/5/03,"Taiwan, China",418,52,71
21/5/03,Colombia,1,0,1
21/5/03,Finland,1,0,1
21/5/03,France,7,0,6
21/5/03,Germany,9,0,9
21/5/03,India,3,0,3
21/5/03,Indonesia,2,0,2
21/5/03,Italy,9,0,9
21/5/03,Kuwait,1,0,1
21/5/03,Malaysia,8,2,5
21/5/03,Mongolia,9,0,8
21/5/03,New Zealand,1,0,1
21/5/03,Philippines,12,2,10
21/5/03,Republic of Ireland,1,0,1
21/5/03,Republic of Korea,3,0,2
21/5/03,Romania,1,0,1
21/5/03,Singapore,206,28,161
21/5/03,South Africa,1,1,0
21/5/03,Spain,1,0,1
21/5/03,Sweden,3,0,3
21/5/03,Switzerland,1,0,1
21/5/03,Thailand,8,2,5
21/5/03,United Kingdom,4,0,4
21/5/03,United States,66,0,33
21/5/03,Viet Nam,63,5,58
22/5/03,Australia,6,0,6
22/5/03,Brazil,2,0,2
22/5/03,Canada,140,23,109
22/5/03,China,5271,300,2445
22/5/03,"Hong Kong SAR, China",1722,258,1247
22/5/03,"Macao SAR, China",2,0,0
22/5/03,"Taiwan, China",483,60,74
22/5/03,Colombia,1,0,1
22/5/03,Finland,1,0,1
22/5/03,France,7,0,6
22/5/03,Germany,9,0,9
22/5/03,India,3,0,3
22/5/03,Indonesia,2,0,2
22/5/03,Italy,9,0,9
22/5/03,Kuwait,1,0,1
22/5/03,Malaysia,8,2,5
22/5/03,Mongolia,9,0,8
22/5/03,New Zealand,1,0,1
22/5/03,Philippines,12,2,10
22/5/03,Republic of Ireland,1,0,1
22/5/03,Republic of Korea,3,0,2
22/5/03,Romania,1,0,1
22/5/03,Singapore,206,29,162
22/5/03,South Africa,1,1,0
22/5/03,Spain,1,0,1
22/5/03,Sweden,3,0,3
22/5/03,Switzerland,1,0,1
22/5/03,Thailand,8,2,5
22/5/03,United Kingdom,4,0,4
22/5/03,United States,65,0,33
22/5/03,Viet Nam,63,5,58
23/5/03,Brazil,2,0,2
23/5/03,Canada,140,23,109
23/5/03,China,5285,303,2544
23/5/03,"Hong Kong SAR, China",1724,260,1255
23/5/03,"Macao SAR, China",2,0,0
23/5/03,"Taiwan, China",538,60,82
23/5/03,Colombia,1,0,1
23/5/03,Finland,1,0,1
23/5/03,France,7,0,6
23/5/03,Germany,9,0,9
23/5/03,India,3,0,3
23/5/03,Indonesia,2,0,2
23/5/03,Italy,9,0,9
23/5/03,Kuwait,1,0,1
23/5/03,Malaysia,8,2,5
23/5/03,Mongolia,9,0,8
23/5/03,New Zealand,1,0,1
23/5/03,Philippines,12,2,10
23/5/03,Republic of Ireland,1,0,1
23/5/03,Republic of Korea,3,0,2
23/5/03,Romania,1,0,1
23/5/03,Singapore,206,31,163
23/5/03,South Africa,1,1,0
23/5/03,Spain,1,0,1
23/5/03,Sweden,3,0,3
23/5/03,Switzerland,1,0,1
23/5/03,Thailand,8,2,5
23/5/03,United Kingdom,4,0,4
23/5/03,United States,65,0,33
23/5/03,Viet Nam,63,5,58
24/5/03,Brazil,2,0,2
24/5/03,Canada,140,23,109
24/5/03,China,5309,308,2675
24/5/03,"Hong Kong SAR, China",1724,262,1266
24/5/03,"Macao SAR, China",2,0,0
24/5/03,"Taiwan, China",538,60,82
24/5/03,Colombia,1,0,1
24/5/03,Finland,1,0,1
24/5/03,France,7,0,6
24/5/03,Germany,9,0,9
24/5/03,India,3,0,3
24/5/03,Indonesia,2,0,2
24/5/03,Italy,9,0,9
24/5/03,Kuwait,1,0,1
24/5/03,Malaysia,8,2,5
24/5/03,Mongolia,9,0,8
24/5/03,New Zealand,1,0,1
24/5/03,Philippines,12,2,10
24/5/03,Republic of Ireland,1,0,1
24/5/03,Republic of Korea,3,0,2
24/5/03,Romania,1,0,1
24/5/03,Singapore,206,31,163
24/5/03,South Africa,1,1,0
24/5/03,Spain,1,0,1
24/5/03,Sweden,3,0,3
24/5/03,Switzerland,1,0,1
24/5/03,Thailand,8,2,5
24/5/03,United Kingdom,4,0,4
24/5/03,United States,65,0,33
24/5/03,Viet Nam,63,5,58
26/5/03,Brazil,2,0,2
26/5/03,Canada,148,26,110
26/5/03,China,5316,317,2829
26/5/03,"Hong Kong SAR, China",1726,267,1276
26/5/03,"Macao SAR, China",2,0,0
26/5/03,"Taiwan, China",585,72,112
26/5/03,Colombia,1,0,1
26/5/03,Finland,1,0,1
26/5/03,France,7,0,6
26/5/03,Germany,9,0,9
26/5/03,India,3,0,3
26/5/03,Indonesia,2,0,2
26/5/03,Italy,9,0,9
26/5/03,Kuwait,1,0,1
26/5/03,Malaysia,5,2,3
26/5/03,Mongolia,9,0,8
26/5/03,New Zealand,1,0,1
26/5/03,Philippines,12,2,10
26/5/03,Republic of Ireland,1,0,1
26/5/03,Republic of Korea,3,0,2
26/5/03,Romania,1,0,1
26/5/03,Singapore,206,31,163
26/5/03,South Africa,1,1,0
26/5/03,Spain,1,0,1
26/5/03,Sweden,3,0,3
26/5/03,Switzerland,1,0,1
26/5/03,Thailand,8,2,6
26/5/03,United Kingdom,4,0,4
26/5/03,United States,65,0,33
26/5/03,Viet Nam,63,5,58
27/5/03,Brazil,2,0,2
27/5/03,Canada,148,26,111
27/5/03,China,5322,321,2944
27/5/03,"Hong Kong SAR, China",1728,269,1285
27/5/03,"Macao SAR, China",2,0,0
27/5/03,"Taiwan, China",596,76,112
27/5/03,Colombia,1,0,1
27/5/03,Finland,1,0,1
27/5/03,France,7,0,6
27/5/03,Germany,9,0,9
27/5/03,India,3,0,3
27/5/03,Indonesia,2,0,2
27/5/03,Italy,9,0,9
27/5/03,Kuwait,1,0,1
27/5/03,Malaysia,5,2,3
27/5/03,Mongolia,9,0,9
27/5/03,New Zealand,1,0,1
27/5/03,Philippines,12,2,10
27/5/03,Republic of Ireland,1,0,1
27/5/03,Republic of Korea,3,0,2
27/5/03,Romania,1,0,1
27/5/03,Singapore,206,31,163
27/5/03,South Africa,1,1,0
27/5/03,Spain,1,0,1
27/5/03,Sweden,3,0,3
27/5/03,Switzerland,1,0,1
27/5/03,Thailand,8,2,6
27/5/03,United Kingdom,4,0,4
27/5/03,United States,65,0,32
27/5/03,Viet Nam,63,5,58
28/5/03,Australia,6,0,6
28/5/03,Brazil,2,0,2
28/5/03,Canada,149,26,111
28/5/03,China,5323,325,3036
28/5/03,"Hong Kong SAR, China",1730,270,1295
28/5/03,"Macao SAR, China",2,0,0
28/5/03,"Taiwan, China",610,81,112
28/5/03,Colombia,1,0,1
28/5/03,Finland,1,0,1
28/5/03,France,7,0,6
28/5/03,Germany,9,0,9
28/5/03,India,3,0,3
28/5/03,Indonesia,2,0,2
28/5/03,Italy,9,0,9
28/5/03,Kuwait,1,0,1
28/5/03,Malaysia,5,2,3
28/5/03,Mongolia,9,0,9
28/5/03,New Zealand,1,0,1
28/5/03,Philippines,12,2,10
28/5/03,Republic of Ireland,1,0,1
28/5/03,Republic of Korea,3,0,2
28/5/03,Romania,1,0,1
28/5/03,Singapore,206,31,165
28/5/03,South Africa,1,1,0
28/5/03,Spain,1,0,1
28/5/03,Sweden,3,0,3
28/5/03,Switzerland,1,0,1
28/5/03,Thailand,8,2,6
28/5/03,United Kingdom,4,0,4
28/5/03,United States,66,0,32
28/5/03,Viet Nam,63,5,58
29/5/03,Australia,6,0,6
29/5/03,Brazil,2,0,2
29/5/03,Canada,151,26,112
29/5/03,China,5325,327,3121
29/5/03,"Hong Kong SAR, China",1732,273,1302
29/5/03,"Macao SAR, China",1,0,0
29/5/03,"Taiwan, China",660,81,122
29/5/03,Colombia,1,0,1
29/5/03,Finland,1,0,1
29/5/03,France,7,0,6
29/5/03,Germany,9,0,9
29/5/03,India,3,0,3
29/5/03,Indonesia,2,0,2
29/5/03,Italy,9,0,9
29/5/03,Kuwait,1,0,1
29/5/03,Malaysia,5,2,3
29/5/03,Mongolia,9,0,9
29/5/03,New Zealand,1,0,1
29/5/03,Philippines,12,2,10
29/5/03,Republic of Ireland,1,0,1
29/5/03,Republic of Korea,3,0,2
29/5/03,Romania,1,0,1
29/5/03,Singapore,206,31,165
29/5/03,South Africa,1,1,0
29/5/03,Spain,1,0,1
29/5/03,Sweden,3,0,3
29/5/03,Switzerland,1,0,1
29/5/03,Thailand,8,2,6
29/5/03,United Kingdom,4,0,4
29/5/03,United States,66,0,32
29/5/03,Viet Nam,63,5,58
30/5/03,Brazil,2,0,2
30/5/03,Canada,159,28,112
30/5/03,China,5328,328,3250
30/5/03,"Hong Kong SAR, China",1736,274,1304
30/5/03,"Macao SAR, China",1,0,0
30/5/03,"Taiwan, China",667,81,125
30/5/03,Colombia,1,0,1
30/5/03,Finland,1,0,1
30/5/03,France,7,0,6
30/5/03,Germany,9,0,9
30/5/03,India,3,0,3
30/5/03,Indonesia,2,0,2
30/5/03,Italy,9,0,9
30/5/03,Kuwait,1,0,1
30/5/03,Malaysia,5,2,3
30/5/03,Mongolia,9,0,9
30/5/03,New Zealand,1,0,1
30/5/03,Philippines,12,2,10
30/5/03,Republic of Ireland,1,0,1
30/5/03,Republic of Korea,3,0,3
30/5/03,Romania,1,0,1
30/5/03,Singapore,206,31,165
30/5/03,South Africa,1,1,0
30/5/03,Spain,1,0,1
30/5/03,Sweden,3,0,3
30/5/03,Switzerland,1,0,1
30/5/03,Thailand,8,2,6
30/5/03,United Kingdom,4,0,4
30/5/03,United States,66,0,32
30/5/03,Viet Nam,63,5,58
31/5/03,Brazil,2,0,2
31/5/03,Canada,188,30,116
31/5/03,China,5328,332,3371
31/5/03,"Hong Kong SAR, China",1739,278,1310
31/5/03,"Macao SAR, China",1,0,0
31/5/03,"Taiwan, China",676,81,129
31/5/03,Colombia,1,0,1
31/5/03,Finland,1,0,1
31/5/03,France,7,0,6
